COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Belize,BLZ,AMRO,REPORTING,7/15/2022,494935,249143,124.472,62.657,217556,54.713,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",3/1/2021,5,49828,12.531
Benin,BEN,AFRO,REPORTING,7/3/2022,3681560,3174135,30.368,26.182,2690085,22.19,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/29/2021,5,0,0
Bermuda,BMU,AMRO,REPORTING,7/15/2022,132042,48554,212.037,77.97,47657,76.529,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",1/11/2021,2,31829,51.112
Bhutan,BTN,SEARO,REPORTING,7/17/2022,1911837,693082,247.773,89.823,672851,87.201,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",3/27/2021,5,545904,70.749
Bolivia (Plurinational State of),BOL,AMRO,REPORTING,7/15/2022,14362951,7257747,123.044,62.175,6038881,51.734,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",1/30/2021,6,1779841,15.247
"Bonaire, Sint Eustatius and Saba",BES,AMRO,OWID,9/1/2021,35845,19109,137.934,73.533,16736,64.401,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2,,
Bosnia and Herzegovina,BIH,EURO,REPORTING,1/29/2022,1924950,943394,58.7,28.755,846080,25.789,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Gamaleya - Sputnik V",,4,,
Botswana,BWA,AFRO,REPORTING,7/3/2022,2730607,1696430,116.116,72.139,1512567,64.32,"Bharat - Covaxin,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/26/2021,6,391031,16.628
Brazil,BRA,AMRO,REPORTING,7/15/2022,455195559,181697268,214.15,85.481,162633930,76.512,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",1/17/2021,5,102442042,48.195
British Virgin Islands,VGB,AMRO,REPORTING,7/15/2022,41346,19433,136.74,64.269,18187,60.148,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S",2/11/2021,2,3726,12.323
Brunei Darussalam,BRN,WPRO,REPORTING,5/27/2022,1173118,444293,268.154,101.558,426764,97.551,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",4/3/2021,5,301719,68.968
Bulgaria,BGR,EURO,REPORTING,6/26/2022,4407711,2092116,63.4,30.096,2063324,29.682,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/30/2020,4,760212,10.936
Burkina Faso,BFA,AFRO,REPORTING,7/3/2022,2947625,2449809,14.101,11.72,1555140,7.44,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",6/2/2021,3,0,0
Burundi,BDI,AFRO,REPORTING,7/10/2022,17926,16068,0.151,0.135,15489,0.13,Beijing CNBG - BBIBP-CorV,10/18/2021,1,8,0
Cabo Verde,CPV,AFRO,REPORTING,7/10/2022,802216,355522,144.287,63.944,307655,55.335,"Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",3/18/2021,4,234,0.042
Cambodia,KHM,WPRO,REPORTING,7/8/2022,41343067,15096276,247.282,90.294,14400317,86.132,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2/10/2021,7,9529316,56.997
Cameroon,CMR,AFRO,REPORTING,7/10/2022,1849562,1566331,6.967,5.9,1223119,4.608,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",4/12/2021,4,52011,0.196
Canada,CAN,AMRO,REPORTING,7/15/2022,85794114,32607089,227.316,86.394,31330579,83.012,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",12/14/2020,5,18873678,50.007
Cayman Islands,CYM,AMRO,REPORTING,7/15/2022,146793,61453,223.361,93.507,59810,91.007,Pfizer BioNTech - Comirnaty,1/15/2021,1,23670,36.016
Central African Republic,CAF,AFRO,REPORTING,7/3/2022,1353144,1260593,28.017,26.1,1204209,24.933,"Bharat - Covaxin,SII - Covishield",3/19/2021,2,,
Chad,TCD,AFRO,REPORTING,7/3/2022,2356138,2218493,14.344,13.506,2093522,12.745,Beijing CNBG - BBIBP-CorV,6/4/2021,1,0,0
Chile,CHL,AMRO,REPORTING,7/15/2022,60220094,18012384,315.021,94.226,17597453,92.055,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",12/21/2020,5,15202780,79.528
China,CHN,WPRO,REPORTING,7/10/2022,3427624099,1307343427,232.968,88.857,1267036924,86.118,"Anhui ZL - Zifivax,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,IMB - Covidful,Pfizer BioNTech - Comirnaty,Shenzhen - LV-SMENP-DC,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",7/22/2020,8,775387473,52.701
Colombia,COL,AMRO,REPORTING,7/15/2022,86474076,42480321,169.947,83.486,36295164,71.331,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2/17/2021,5,13254074,26.048
Comoros,COM,AFRO,REPORTING,7/3/2022,642320,409094,73.864,47.044,362030,41.632,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",4/10/2021,3,0,0
Congo,COG,AFRO,REPORTING,7/3/2022,831318,693902,15.065,12.575,652422,11.823,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,SII - Covishield",3/23/2021,4,0,0
Cook Islands,COK,WPRO,REPORTING,5/10/2022,39612,15020,225.529,85.516,14676,83.557,Pfizer BioNTech - Comirnaty,5/17/2021,1,9916,56.456
Costa Rica,CRI,AMRO,REPORTING,7/15/2022,11323830,4437629,222.292,87.113,4175944,81.976,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/24/2020,3,2402802,47.168
